# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=3
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
5456.35,1,0.00324623,6,63,0,-5442.38,0.591664,1.18251,-0.47137,0.706358,0.0209396,-0.860834,-2.71512,-1.0503,1.33309,-4.20199,0.987036,1.91263,0.314291,0.00259544,1.07726,0.591664,1.18251,-0.47137,0.706358,0.0209396,-0.860834,-5.71512,-1.0503,-1.66691,-7.20199,0.987036,-1.08737,0.314291,0.00259544,1.07726
5469.38,0.975967,0.00566889,5,31,0,-5448.38,0.54719,1.08809,-0.455501,0.648206,-0.00431323,-0.849155,-2.9038,-1.0993,1.41677,-4.21082,0.993039,1.86642,0.307769,0.0468971,1.17076,0.54719,1.08809,-0.455501,0.648206,-0.00431323,-0.849155,-5.9038,-1.0993,-1.58323,-7.21082,0.993039,-1.13358,0.307769,0.0468971,1.17076
5527.57,0.788823,0.00925041,5,31,0,-5461.35,0.405312,1.06084,-0.579612,0.377799,0.0394007,-0.529807,-3.37675,-0.934372,2.00748,-4.56174,1.04969,2.24923,0.361671,0.10376,1.12565,0.405312,1.06084,-0.579612,0.377799,0.0394007,-0.529807,-6.37675,-0.934372,-0.992517,-7.56174,1.04969,-0.750765,0.361671,0.10376,1.12565
5536.21,0.565765,0.00946222,5,31,0,-5522.94,0.375513,1.0685,-0.500999,0.360424,0.0396455,-0.444159,-3.39787,-0.951249,2.17383,-4.53898,1.03573,2.29516,0.388155,0.167138,1.14834,0.375513,1.0685,-0.500999,0.360424,0.0396455,-0.444159,-6.39787,-0.951249,-0.82617,-7.53898,1.03573,-0.704839,0.388155,0.167138,1.14834
5533.47,0.907093,0.00561407,5,31,0,-5523.55,0.32589,0.998325,-0.368778,0.298364,-0.0290574,-0.440864,-3.47747,-1.02133,2.10517,-4.61485,1.01228,2.29035,0.330756,0.0495147,1.16002,0.32589,0.998325,-0.368778,0.298364,-0.0290574,-0.440864,-6.47747,-1.02133,-0.894834,-7.61485,1.01228,-0.709646,0.330756,0.0495147,1.16002
5533.48,0.996737,0.00766842,5,31,0,-5521.82,0.298802,1.09183,-0.524477,0.343742,0.132298,-0.360107,-3.46553,-0.734097,2.28861,-4.55364,1.20231,2.42891,0.318607,0.135714,1.20973,0.298802,1.09183,-0.524477,0.343742,0.132298,-0.360107,-6.46553,-0.734097,-0.711386,-7.55364,1.20231,-0.571088,0.318607,0.135714,1.20973
5537.32,0.171608,0.012936,3,9,1,-5527.59,0.304167,1.10741,-0.532355,0.341424,0.135796,-0.359989,-3.47411,-0.753354,2.28333,-4.57445,1.17455,2.43989,0.324666,0.114894,1.22982,0.304167,1.10741,-0.532355,0.341424,0.135796,-0.359989,-6.47411,-0.753354,-0.716675,-7.57445,1.17455,-0.560107,0.324666,0.114894,1.22982
5550.88,0.939886,0.003017,7,127,0,-5525.72,0.196913,1.33019,-0.242518,0.238096,-0.0298987,-0.269358,-3.61609,-0.950137,2.44505,-4.70094,0.944228,2.47265,0.347467,0.0276951,1.06519,0.196913,1.33019,-0.242518,0.238096,-0.0298987,-0.269358,-6.61609,-0.950137,-0.554953,-7.70094,0.944228,-0.527349,0.347467,0.0276951,1.06519
5563.25,0.996937,0.00444157,6,127,0,-5540.37,-0.0535505,1.20675,0.0579966,0.249542,-0.0428747,-0.0750313,-3.59301,-1.13546,2.77676,-4.70524,0.940697,2.83938,0.400141,0.110772,1.06628,-0.0535505,1.20675,0.0579966,0.249542,-0.0428747,-0.0750313,-6.59301,-1.13546,-0.223236,-7.70524,0.940697,-0.160619,0.400141,0.110772,1.06628
5566.83,0.974633,0.00743935,5,31,0,-5557.4,-0.0455294,1.22128,0.00785674,0.156014,-0.0640782,-0.0610748,-3.75317,-1.12976,2.82762,-4.79961,0.921483,2.89908,0.319706,0.00715236,1.06375,-0.0455294,1.22128,0.00785674,0.156014,-0.0640782,-0.0610748,-6.75317,-1.12976,-0.172379,-7.79961,0.921483,-0.100924,0.319706,0.00715236,1.06375
5565.2,0.123468,0.0117431,4,31,0,-5555.53,-0.0712127,1.14856,-0.000707456,0.172968,-0.0469499,-0.052089,-3.68968,-1.0684,2.75546,-4.74795,0.95667,2.78632,0.31669,-0.0195915,1.06742,-0.0712127,1.14856,-0.000707456,0.172968,-0.0469499,-0.052089,-6.68968,-1.0684,-0.244541,-7.74795,0.95667,-0.21368,0.31669,-0.0195915,1.06742
5565.8,0.999487,0.00254365,8,255,0,-5561.55,-0.201522,1.14805,0.269996,0.109261,-0.0438346,0.160316,-3.89401,-1.12997,3.35701,-4.87316,1.01175,3.15652,0.426997,0.0344804,0.916229,-0.201522,1.14805,0.269996,0.109261,-0.0438346,0.160316,-6.89401,-1.12997,0.357012,-7.87316,1.01175,0.156518,0.426997,0.0344804,0.916229
